Objektnummer;Kulturdenkmaltyp;Kreis;Gemeinde;Adresse-Lage;Bezeichnung;Beschreibung;Begründung;Schutzumfang;FotoURL
47416;"Bauliche Anlage";"Stadt Flensburg";"Flensburg, Stadt";"Große Straße 46";"erster Seitenflügel";"erster Seitenflügel; wohl 18. Jh.; zweigeschossiger Flügeltrakt mit pfannengedecktem Satteldach und geschlämmtem Backsteinaußenmauern";"Geschichtlich, Städtebaulich";"gesamtes Objekt";"https://opendata.schleswig-holstein.de/data/denkmalpflege/fotos/47416.jpg"
47417;"Bauliche Anlage";"Stadt Flensburg";"Flensburg, Stadt";"Große Straße 46";"Rückflügel";"Rückflügel; wohl 18. Jh.; zweigeschossiger Flügeltrakt über Kellersockel mit Satteldach und verputzten sowie geschlämmtem Backsteinaußenmauern, das OG im vorderen Bereich vorkragend, vermutl. Fachwerk, hier auch Lukengiebel";"Geschichtlich, Städtebaulich";"gesamtes Objekt";"https://opendata.schleswig-holstein.de/data/denkmalpflege/fotos/47417.jpg"
405;"Bauliche Anlage";"Stadt Flensburg";"Flensburg, Stadt";"Große Straße 48";"Kaufmannshof: erster nördlicher Seitenflügel";"erster nördlicher Seitenflügel; 18./19. Jh.; dreigeschossiger geschlämmter Backsteinflügel mit pfannengedecktem Satteldach und Kranerker";"Geschichtlich, Städtebaulich";"gesamtes Objekt";"https://opendata.schleswig-holstein.de/data/denkmalpflege/fotos/405.jpg"
1843;"Bauliche Anlage";"Stadt Flensburg";"Flensburg, Stadt";"Große Straße 48";"Kaufmannshof: erster südlicher Seitenflügel";"erster südlicher Seitenflügel; 18./19. Jh.; dreigeschossiger geschlämmter Backsteinflügel mit schlichter Front und Satteldach";"Geschichtlich, Städtebaulich";"gesamtes Objekt";"https://opendata.schleswig-holstein.de/data/denkmalpflege/fotos/1843.jpg"
2101;"Bauliche Anlage";"Stadt Flensburg";"Flensburg, Stadt";"Große Straße 48";"Kaufmannshof: Vorderhaus";"Wohn- und Geschäftshaus; 1852, im Kern 16. Jh.; aus zwei ehem. Giebelhäusern zusammengefasster dreigeschossiger Bau mit geschlämmter, neogotischer Fassade und pfannengedecktem Walmdach, die urspr. Hausteile als Rückflügel mit Satteldächern erhalten";"Geschichtlich, Künstlerisch, Städtebaulich";"gesamtes Objekt";"https://opendata.schleswig-holstein.de/data/denkmalpflege/fotos/2101.jpg"
47424;"Bauliche Anlage";"Stadt Flensburg";"Flensburg, Stadt";"Große Straße 48";"Kaufmannshof: zweiter nördlicher Seitenflügel";"zweiter nördlicher Seitenflügel; 18./19. Jh.; zweigeschossiger geschlämmter Backsteinflügel mit Sattelbdach, rückseitig ehem. Lukengiebel";"Geschichtlich, Städtebaulich";"gesamtes Objekt";"https://opendata.schleswig-holstein.de/data/denkmalpflege/fotos/47424.jpg"
47425;"Bauliche Anlage";"Stadt Flensburg";"Flensburg, Stadt";"Große Straße 48";"Kaufmannshof: dritter nördlicher Seitenflügel";"dritter nördlicher Seitenflügel; 18./19. Jh.; zweigeschossiger geschlämmter Backsteinflügel mit Satteldach, die Rückfront nach Norden in Fachwerk";"Geschichtlich, Städtebaulich";"gesamtes Objekt";"https://opendata.schleswig-holstein.de/data/denkmalpflege/fotos/47425.jpg"
47426;"Bauliche Anlage";"Stadt Flensburg";"Flensburg, Stadt";"Große Straße 48";"Kaufmannshof: zweiter südlicher Seitenflügel";"zweiter südlicher Seitenflügel; 18./19. Jh.; zweigeschossiger geschlämmter Backsteinflügel mit steilem Satteldach und rundbogiger Luke am Ostgiebel";"Geschichtlich, Städtebaulich";"gesamtes Objekt";"https://opendata.schleswig-holstein.de/data/denkmalpflege/fotos/47426.jpg"
47430;"Bauliche Anlage";"Stadt Flensburg";"Flensburg, Stadt";"Große Straße 48";"Kaufmannshof: dritter südlicher Seitenflügel";"dritter südlicher Seitenflügel. Zweigeschossiger geschlämmter Backsteinflügel mit Satteldach und Kranerker auf beschnitzten Kopfbändern, im 18./19. Jh. errichtet";"Geschichtlich, Städtebaulich";"gesamtes Objekt";"https://opendata.schleswig-holstein.de/data/denkmalpflege/fotos/47430.jpg"
83;"Bauliche Anlage";"Stadt Flensburg";"Flensburg, Stadt";"Große Straße 50";"Rückflügel";"Rückflügel; um 1590; zweigeschossiger Flügeltrakt über Kellersockel mit pfannengedecktem Satteldach und größtenteils geschlämmtem Backsteinaußenmauern";"Geschichtlich, Städtebaulich";"gesamtes Objekt";""
1847;"Bauliche Anlage";"Stadt Flensburg";"Flensburg, Stadt";"Große Straße 50";"Vorderhaus";"Vorderhaus; 1854, 1899, im Kern 15. Jh.; dreigeschossiger Bau mit pfannengedecktem Satteldach und Putzfassade in Neorenaissanceformen, die geschlämmten Seitenmauern im gotischen Verband";"Geschichtlich, Künstlerisch, Städtebaulich";"gesamtes Objekt";"https://opendata.schleswig-holstein.de/data/denkmalpflege/fotos/1847.jpg"
47431;"Bauliche Anlage";"Stadt Flensburg";"Flensburg, Stadt";"Große Straße 50";"Seitenflügel";"Seitenflügel; 1904, im Kern um 1600; dreigeschossiger geschlämmter Backsteinflügel mit Pultdach und dreiviertelrundem Eckturm mit Wendeltreppe";"Geschichtlich, Städtebaulich";"gesamtes Objekt";""
13907;"Bauliche Anlage";"Stadt Flensburg";"Flensburg, Stadt";"Große Straße 51";"Wohn- und Geschäftshaus";"Wohn- und Geschäftshaus; um 1880; zweigeschossiger traufständiger Bau mit steilem Satteldach und spätklassizistischer Fassade";"Geschichtlich, Städtebaulich";"gesamtes Objekt";"https://opendata.schleswig-holstein.de/data/denkmalpflege/fotos/13907.jpg"
84;"Bauliche Anlage";"Stadt Flensburg";"Flensburg, Stadt";"Große Straße 52";"Kaufmannshof: Vorderhaus";"Vorderhaus; 1766; dreigeschossiger Bau mit pfannengedecktem Halbwalmdach und Putzfassade in repräsentativen barocken Formen, seitl. rundbogige Durchfahrt zum Hof mit aufwändig gestaltetem Oberlicht";"Geschichtlich, Künstlerisch, Städtebaulich";"gesamtes Objekt";"https://opendata.schleswig-holstein.de/data/denkmalpflege/fotos/84.jpg"
35663;"Bauliche Anlage";"Stadt Flensburg";"Flensburg, Stadt";"Große Straße 52";"Kaufmannshof: nördlicher Seitenflügel";"nördlicher Seitenflügel; 18. Jh.; dreigeschossiger geschlämmter Backsteinflügel mit pfannengedecktem Satteldach und Kranerker";"Geschichtlich, Künstlerisch, Städtebaulich";"gesamtes Objekt";""
35664;"Bauliche Anlage";"Stadt Flensburg";"Flensburg, Stadt";"Große Straße 52";"Kaufmannshof: Querspeicher";"Querspeicher; E. 16. Jh.; dreigeschossiger Backsteinquerbau mit etanitverkleideten Außenmauern und pfannengedecktem Halbwalmdach, rundbogige seitl. Durchfahrt, nach Osten hohes übergiebeltes Zwerchhaus";"Geschichtlich, Künstlerisch, Städtebaulich";"gesamtes Objekt";""
13938;"Bauliche Anlage";"Stadt Flensburg";"Flensburg, Stadt";"Große Straße 53 - 55";"Wohn- und Geschäftshaus";"Wohn- und Geschäftshaus; 1894, Maurermeister Chr. Henningsen; viergeschossiger Bau mit Satteldach und aufwändig gestalteter Fassade in Neorenaissanceformen, mittig Dacherker mit Giebelaufsatz, zugehörig zwei hofumfassende Rückflügel";"Geschichtlich, Künstlerisch, Städtebaulich";"gesamtes Objekt";"https://opendata.schleswig-holstein.de/data/denkmalpflege/fotos/13938.jpg"
127;"Bauliche Anlage";"Stadt Flensburg";"Flensburg, Stadt";"Große Straße 54";"Kaufmannshof: Vorderhaus";"Vorderhaus; Mi. 19. Jh., im Kern wohl 16. Jh.; dreigeschossiger Backsteinbau mit klassizistischer Putzfassade und zur Straße abgewalmtem Satteldach, an der südlichen Traufseite rundbogiges Portal und Kranausleger";"Geschichtlich, Städtebaulich";"gesamtes Objekt";"https://opendata.schleswig-holstein.de/data/denkmalpflege/fotos/127.jpg"
375;"Bauliche Anlage";"Stadt Flensburg";"Flensburg, Stadt";"Große Straße 54";"Kaufmannshof: Seitenflügel";"Seitenflügel; 19. Jh., im Kern älter; zweigeschossiger teilw. geschlämmter Gelbsteinflügel mit Mauerankern und pfannengedecktem Satteldach";"Geschichtlich, Städtebaulich";"gesamtes Objekt";"https://opendata.schleswig-holstein.de/data/denkmalpflege/fotos/375.jpg"
14082;"Bauliche Anlage";"Stadt Flensburg";"Flensburg, Stadt";"Große Straße 56";"Geschäftshaus";"Geschäftshaus; 1897, im Kern älter; um 1810 aus zwei ehem. Giebelhäusern zusammengefasster, 1897 umgebauter dreigeschossiger Putzbau in Ecklage zum Nordermarkt mit pfannengedecktem Walmdach, die urspr. Hausteile als Rückflügel mit Satteldächern erhalten";"Geschichtlich, Städtebaulich";"gesamtes Objekt";"https://opendata.schleswig-holstein.de/data/denkmalpflege/fotos/14082.jpg"
14181;"Bauliche Anlage";"Stadt Flensburg";"Flensburg, Stadt";"Große Straße 57";"Wohn- und Geschäftshaus";"Wohn- und Geschäftshaus; 1912, Baugeschäft Bandholz u. Reeps; fünfgeschossiger Bau mit Satteldach und Putzfassade in Formen der Reformarchitektur, kleiner Dacherker mit Glockendach, zugehöriger Rückflügel mit Lichthof";"Geschichtlich, Künstlerisch, Städtebaulich";"gesamtes Objekt";"https://opendata.schleswig-holstein.de/data/denkmalpflege/fotos/14181.jpg"
128;"Bauliche Anlage";"Stadt Flensburg";"Flensburg, Stadt";"Große Straße 58";"Schrangen";"Alteintragung (Aktualisierung vorgesehen)";"Geschichtlich, Künstlerisch, Städtebaulich";"gesamtes Objekt";"https://opendata.schleswig-holstein.de/data/denkmalpflege/fotos/128.jpg"
1367;"Bauliche Anlage";"Stadt Flensburg";"Flensburg, Stadt";"Große Straße 67";"Wohn- und Geschäftshaus";"Wohn- und Geschäftshaus; 1899, Maurermeister R. West; viergeschossiger Bau mit Berliner Dach und reicher Putzfassade in Neorenaissanceformen, rückwärtiger Gebäudeteil niedriger und schmaler";"Geschichtlich, Künstlerisch, Städtebaulich";"gesamtes Objekt";"https://opendata.schleswig-holstein.de/data/denkmalpflege/fotos/1367.jpg"
1848;"Bauliche Anlage";"Stadt Flensburg";"Flensburg, Stadt";"Große Straße 69";"Kaufmannshof: Vorderhaus";"Vorderhaus; 1852, im Kern 16. Jh.; aus zwei Haustrakten zusammengefasster dreigeschossiger Bau mit 1929 modernisierter verputzter Doppelgiebelfassade und pfannengedeckten Satteldächern, südseitig zum Hof abgewalmt, seitl. Durchfahrt zum Hof";"Geschichtlich, Künstlerisch, Städtebaulich";"gesamtes Objekt";"https://opendata.schleswig-holstein.de/data/denkmalpflege/fotos/1848.jpg"
47538;"Bauliche Anlage";"Stadt Flensburg";"Flensburg, Stadt";"Große Straße 69";"Kaufmannshof: erster nördlicher Seitenflügel";"erster nördlicher Seitenflügel; E. 18. Jh., im Kern wohl 16. Jh.; zweigeschossiger verputzter Backsteinflügel mit Mansarddach, die westl. Achse mit Ladeluken sowie Windenerker";"Geschichtlich, Städtebaulich";"gesamtes Objekt";""
47539;"Bauliche Anlage";"Stadt Flensburg";"Flensburg, Stadt";"Große Straße 69";"Kaufmannshof: zweiter nördlicher Seitenflügel";"zweiter nördlicher Seitenflügel; A. 18. Jh.; zweigeschossiger Backsteinflügel mit geschlämmten Außenmauern und Satteldach, um 1800 nach Westen erweitert";"Geschichtlich, Städtebaulich";"gesamtes Objekt";""
47540;"Bauliche Anlage";"Stadt Flensburg";"Flensburg, Stadt";"Große Straße 69";"Kaufmannshof: erster südlicher Seitenflügel";"erster südlicher Seitenflügel; 18. Jh.; zweigeschossiger geschlämmter Backsteinflügel mit Mansarddach und durch profilierte Kopfbänder betontem Windenlukengiebel";"Geschichtlich, Städtebaulich";"gesamtes Objekt";""
47541;"Bauliche Anlage";"Stadt Flensburg";"Flensburg, Stadt";"Große Straße 69";"Kaufmannshof: zweiter südlicher Seitenflügel";"zweiter südlicher Seitenflügel; 18. Jh.; eingeschossiges Backsteinwohnhaus mit geschlämmten Außenmauern und pfannengedecktem halbem Bohlendach auf Balkenköpfen";"Geschichtlich, Städtebaulich";"gesamtes Objekt";""
47542;"Bauliche Anlage";"Stadt Flensburg";"Flensburg, Stadt";"Große Straße 69";"Kaufmannshof: Quergebäude";"Quergebäude; 1899, Zimmermeister Andreas Fabian; ehem. private Töchterschule mit Turnsaal, dreigeschossiger geschlämmter Backsteinbau mit flachem Pultdach";"Geschichtlich, Städtebaulich";"gesamtes Objekt";""
380;"Bauliche Anlage";"Stadt Flensburg";"Flensburg, Stadt";"Große Straße 71";"Handwerkerhof: Seitenflügel";"Seitenflügel; 19. Jh.; zweigeschossiger geschlämmter Backsteinflügel mit Pultdach und Gurtgesims in Form eines Deutschen Bandes";"Geschichtlich, Städtebaulich";"gesamtes Objekt";""
1830;"Bauliche Anlage";"Stadt Flensburg";"Flensburg, Stadt";"Große Straße 71";"Handwerkerhof: Vorderhaus";"Vorderhaus; 1883, Techniker E. George; dreieinhalbgeschossiger geschlämmter Backsteinbau mit pfannengedecktem Satteldach und spätklassizistischer Putzfassade mit geschultertem Dreieckgiebel und Firstzinne, rückwärtig zugehöriger Wohnflügel";"Geschichtlich, Städtebaulich";"gesamtes Objekt";"https://opendata.schleswig-holstein.de/data/denkmalpflege/fotos/1830.jpg"
47543;"Bauliche Anlage";"Stadt Flensburg";"Flensburg, Stadt";"Große Straße 71";"Handwerkerhof: Quergebäude";"Quergebäude; 1. H. 19. Jh.; ehem. Packhaus, zweigeschossiger geschlämmter Backsteinbau mit Satteldach und Kranerker";"Geschichtlich, Städtebaulich";"gesamtes Objekt";""
153;"Bauliche Anlage";"Stadt Flensburg";"Flensburg, Stadt";"Große Straße 73";"Handwerkerhof: Rückflügel";"Rückflügel; 17./18. Jh.; zweigeschossiger geschlämmter Flügelbau mit massivem Erdgeschoss und über abgerundeten Balkenköpfen vorkragendem Fachwerkobergeschoss unter flach geneigtem Satteldach";"Geschichtlich, Städtebaulich";"gesamtes Objekt";""
381;"Bauliche Anlage";"Stadt Flensburg";"Flensburg, Stadt";"Große Straße 73";"Handwerkerhof: Seitenflügel";"Seitenflügel; um 1800; zweigeschossiger geschlämmter Backsteinbau pfannengedecktem halbem Bohlendach";"Geschichtlich, Städtebaulich";"gesamtes Objekt";""
1849;"Bauliche Anlage";"Stadt Flensburg";"Flensburg, Stadt";"Große Straße 73";"Handwerkerhof: Vorderhaus";"Vorderhaus; dat. 1724, im Kern älter; zweigeschossiges Giebelhaus mit pfannengedecktem Satteldach und barocker Putzfassade mit Schweifgiebel, die Traufseite in Fachwerk mit auf profilierten Balkenköpfen vorgekragtem Obergeschoss";"Geschichtlich, Künstlerisch, Städtebaulich";"gesamtes Objekt";"https://opendata.schleswig-holstein.de/data/denkmalpflege/fotos/1849.jpg"
32231;"Bauliche Anlage";"Stadt Flensburg";"Flensburg, Stadt";"Große Straße 73";"Handwerkerhof: Quergebäude";"Quergebäude; 2. H. 19. Jh.; zweigeschossiger geschlämmter Backsteinbau mit pfannengedecktem Satteldach und Gesimsgliederung";"Geschichtlich, Städtebaulich";"gesamtes Objekt";""
130;"Bauliche Anlage";"Stadt Flensburg";"Flensburg, Stadt";"Große Straße 75";"Kaufmannshof: Vorderhaus";"Vorderhaus; im Kern 17. Jh.; zweigeschossiger Fachwerkbau mit pfannengedecktem Satteldach und jüngerer Putzfassade mit Giebelaufsatz, seitl. flache Utlucht";"Geschichtlich, Künstlerisch, Städtebaulich";"gesamtes Objekt";"https://opendata.schleswig-holstein.de/data/denkmalpflege/fotos/130.jpg"
154;"Bauliche Anlage";"Stadt Flensburg";"Flensburg, Stadt";"Große Straße 75";"Kaufmannshof: Quergebäude";"Quergebäude; A. 18. Jh.; ehem. Stallgebäude, eingeschossiger geschlämmter Backsteinbau mit heute flachgeneigtem Pultdach und korbbogigen Toren";"Geschichtlich, Städtebaulich";"gesamtes Objekt";"https://opendata.schleswig-holstein.de/data/denkmalpflege/fotos/154.jpg"
382;"Bauliche Anlage";"Stadt Flensburg";"Flensburg, Stadt";"Große Straße 75";"Kaufmannshof: zweiter Seitenflügel";"zweiter Seitenflügel; um 1700; zweigeschossiger Flügelbau mit pfannengedecktem Satteldach und weit vorkragendem Fachwerkobergeschoss.";"Geschichtlich, Städtebaulich";"gesamtes Objekt";"https://opendata.schleswig-holstein.de/data/denkmalpflege/fotos/382.jpg"
29762;"Bauliche Anlage";"Stadt Flensburg";"Flensburg, Stadt";"Große Straße 75";"Kaufmannshof: Rückflügel";"Rückflügel; 16./17. Jh.; rückseitig an das Vorderhaus anschließender zweigeschossiger Flügelbau mit Fachwerkobergeschoss und pfannengedecktem Satteldach";"Geschichtlich, Städtebaulich";"gesamtes Objekt";""
29763;"Bauliche Anlage";"Stadt Flensburg";"Flensburg, Stadt";"Große Straße 75";"Kaufmannshof: erster Seitenflügel";"erster Seitenflügel; im Kern um 1700; dreigeschossiger Flügelbau mit leicht vorkragenden Fachwerkobergeschossen und flachgeneigtem Satteldach, jüngere Aufstockung";"Geschichtlich, Städtebaulich";"gesamtes Objekt";"https://opendata.schleswig-holstein.de/data/denkmalpflege/fotos/29763.jpg"
131;"Bauliche Anlage";"Stadt Flensburg";"Flensburg, Stadt";"Große Straße 77";"Wohn- und Geschäftshaus";"Wohn- und Geschäftshaus; 1868/69, Arch. Johannes Otzen; dreigeschossiger Backsteinbau auf hohem granitverkleidetem Sockelgeschoss mit Satteldach und aufwändig gestalteter Fassade in Neogotischen Formen, mittig breiter Dacherker mit Fialengiebel sowie sandsteinerner Kastenerker mit Altan, rückseitig zugehöriger Hofflügel";"Geschichtlich, Künstlerisch, Städtebaulich";"gesamtes Objekt";"https://opendata.schleswig-holstein.de/data/denkmalpflege/fotos/131.jpg"
47550;"Bauliche Anlage";"Stadt Flensburg";"Flensburg, Stadt";"Große Straße 77";"Schornstein";"Schornstein; 1908; zur ehem. Brotfabrik Lorenz Rerup gehörender hoher Rundschlot aus kleinen gelben Ziegeln, stellenweise Zierbänderung in dunklerem Ziegel";"Geschichtlich, Städtebaulich";"gesamtes Objekt";"https://opendata.schleswig-holstein.de/data/denkmalpflege/fotos/47550.jpg"
132;"Bauliche Anlage";"Stadt Flensburg";"Flensburg, Stadt";"Große Straße 79";"Wohn- und Geschäftshaus";"Wohn- und Geschäftshaus; 1895, Zimmermeister Andreas Fabian; viergeschossiger Bau mit ausgebautem Berliner Dach und reicher historisierender Putzfassade, teilw. mit Klinkerblendfeldern, außermittig dreigeschossiger Kastenerker mit Turmaufsatz, rückwärtig zugehöriger Hofflügel";"Geschichtlich, Künstlerisch, Städtebaulich";"gesamtes Objekt";"https://opendata.schleswig-holstein.de/data/denkmalpflege/fotos/132.jpg"
14304;"Bauliche Anlage";"Stadt Flensburg";"Flensburg, Stadt";"Große Straße 81";"Wohn- und Geschäftshaus";"Wohn- und Geschäftshaus; 1897, Zimmermeister Andreas Fabian; viergeschossiger Bau mit ausgebautem Berliner Dach und historisierender Putzfassade, außermittig dreigeschossiger Polygonalerker mit abschließendem Volutengiebel, rückwärtig zugehöriger niedrigerer Hofflügel";"Geschichtlich, Künstlerisch, Städtebaulich";"gesamtes Objekt";"https://opendata.schleswig-holstein.de/data/denkmalpflege/fotos/14304.jpg"
8517;"Bauliche Anlage";"Stadt Flensburg";"Flensburg, Stadt";"Große Straße 83";"Kaufmannshof: Querspeicher";"Querspeicher; um 1820; dreigeschossiger geschlämmter Backsteinquerbau mit pfannengedecktem Satteldach, in der linken Achse segmentbogiges Einfahrtstor und kleiner ehem. Lukengiebel";"Geschichtlich, Städtebaulich";"gesamtes Objekt";"https://opendata.schleswig-holstein.de/data/denkmalpflege/fotos/8517.jpg"
14216;"Bauliche Anlage";"Stadt Flensburg";"Flensburg, Stadt";"Große Straße 83";"Kaufmannshof: Vorderhaus";"Vorderhaus; im Kern 14./15. Jh.; mehrfach veränderter dreigeschossiger Bau mit wesentlich jüngerer, durch Kolossalpilaster gegliederter Putzfassade und gemeinsamem pfannengedecktem Walmdach mit Nachbargebäude Nr. 85";"Geschichtlich, Städtebaulich";"gesamtes Objekt";"https://opendata.schleswig-holstein.de/data/denkmalpflege/fotos/14216.jpg"
47568;"Bauliche Anlage";"Stadt Flensburg";"Flensburg, Stadt";"Große Straße 83";"Kaufmannshof: erster Seitenflügel";"erster Seitenflügel; im Kern um 1700; dreigeschossiger geschlämmter Flügelbau mit Satteldach";"Geschichtlich, Städtebaulich";"gesamtes Objekt";""
14196;"Bauliche Anlage";"Stadt Flensburg";"Flensburg, Stadt";"Große Straße 85";"Kaufmannshof: zweiter Seitenflügel";"zweiter Seitenflügel; 1765; zweigeschossiger geschlämmter Backsteinflügel mit Satteldach";"Geschichtlich, Städtebaulich";"gesamtes Objekt";""
35720;"Bauliche Anlage";"Stadt Flensburg";"Flensburg, Stadt";"Große Straße 85";"Kaufmannshof: erster Seitenflügel";"erster Seitenflügel; im Kern 16. Jh.; dreigeschossiger geschlämmter Flügelbau mit pfannengedecktem Satteldach.";"Geschichtlich, Städtebaulich";"gesamtes Objekt";""
47577;"Bauliche Anlage";"Stadt Flensburg";"Flensburg, Stadt";"Große Straße 85";"Kaufmannshof: Vorderhaus";"Vorderhaus; im Kern 16. Jh.; mehrfach veränderter dreigeschossiger Bau mit wesentlich jüngerer, durch Kolossalpilaster gegliederter Putzfassade und gemeinsamem pfannengedecktem Walmdach mit Nachbargebäude Nr. 83";"Geschichtlich, Städtebaulich";"gesamtes Objekt";"https://opendata.schleswig-holstein.de/data/denkmalpflege/fotos/47577.jpg"
384;"Bauliche Anlage";"Stadt Flensburg";"Flensburg, Stadt";"Große Straße 87";"Kaufmannshof: Vorderhaus";"Vorderhaus; 1892; viergeschossiger Putzbau mit Berliner Dach und Fassade in Neorenaissanceformen, im EG Ladeneinbau";"Geschichtlich, Künstlerisch, Städtebaulich";"gesamtes Objekt";"https://opendata.schleswig-holstein.de/data/denkmalpflege/fotos/384.jpg"
35726;"Bauliche Anlage";"Stadt Flensburg";"Flensburg, Stadt";"Große Straße 87 a";"Kaufmannshof: erster Seitenflügel";"erster Seitenflügel; im Kern 16. Jh.; zweigeschossiger geschlämmter Flügelbau aus Klosterziegeln im Blockverband mit pfannengedecktem Satteldach";"Geschichtlich, Städtebaulich";"gesamtes Objekt";""
35727;"Bauliche Anlage";"Stadt Flensburg";"Flensburg, Stadt";"Große Straße 87 b";"Kaufmannshof: zweiter Seitenflügel";"zweiter Seitenflügel; im Kern 16. Jh.; zweigeschossiger geschlämmter Flügelbau mit stark vorkragendem Fachwerkobergeschoss und  pfannengedecktem Satteldach";"Geschichtlich, Städtebaulich";"gesamtes Objekt";"https://opendata.schleswig-holstein.de/data/denkmalpflege/fotos/35727.jpg"
35728;"Bauliche Anlage";"Stadt Flensburg";"Flensburg, Stadt";"Große Straße 87";"Kaufmannshof: dritter Seitenflügel";"dritter Seitenflügel; E. 19. Jh.; zweigeschossiger geschlämmter Flügelbau mit Pultdach";"Geschichtlich, Städtebaulich";"gesamtes Objekt";"https://opendata.schleswig-holstein.de/data/denkmalpflege/fotos/35728.jpg"
35729;"Bauliche Anlage";"Stadt Flensburg";"Flensburg, Stadt";"Große Straße 87";"Kaufmannshof: Quergebäude";"Quergebäude; 1881, Maurermeister Ludwig Lüttjohann; dreigeschossiges geschlämmtes Hinterhaus mit pfannengedecktem Satteldach und zeittypischer Backsteingliederung";"Geschichtlich, Städtebaulich";"gesamtes Objekt";"https://opendata.schleswig-holstein.de/data/denkmalpflege/fotos/35729.jpg"
47580;"Bauliche Anlage";"Stadt Flensburg";"Flensburg, Stadt";"Große Straße 89";"Handwerkerhof: Vorderhaus";"Vorderhaus; um 1860/70; zweigeschossiger Bau mit flachgeneigtem Satteldach und schlichter Putzfassade in spätklassizistischen Formen, im EG Ladeneinbau, rückwärtig zugehöriger Hofflügel";"Geschichtlich, Städtebaulich";"gesamtes Objekt";"https://opendata.schleswig-holstein.de/data/denkmalpflege/fotos/47580.jpg"
28574;"Bauliche Anlage";"Stadt Flensburg";"Flensburg, Stadt";"Gutenbergstraße 12";"Versandhaus Beate Uhse";"Alteintragung (Aktualisierung vorgesehen)";"Geschichtlich, Künstlerisch";"Alteintragung (Aktualisierung vorgesehen)";"https://opendata.schleswig-holstein.de/data/denkmalpflege/fotos/28574.jpg"
10397;"Bauliche Anlage";"Stadt Flensburg";"Flensburg, Stadt";"Hafendamm 42";"Wohnhaus";"Alteintragung (Aktualisierung vorgesehen)";"Geschichtlich, Künstlerisch, Städtebaulich";"gesamtes Objekt";"https://opendata.schleswig-holstein.de/data/denkmalpflege/fotos/10397.jpg"
7677;"Bauliche Anlage";"Stadt Flensburg";"Flensburg, Stadt";"Hafendamm 46";"Villa";"Villa; 1886, F. Göttsch; ehemaliges Wohnhaus des Betriebsdirektors der Kreisbahn Flensburg-Kappeln, frei stehende zweigeschossige Backsteinvilla mit ausgebautem schiefergedecktem Mansarddach, Fassaden durch Risalite und reichen Putzdekor in Formen der Neurenaissance gegliedert, stumpfe Ecke mit turmartig überhöhtem Kastenerker und steilem Helmdach";"Geschichtlich, Künstlerisch, Städtebaulich";"gesamtes Objekt";"https://opendata.schleswig-holstein.de/data/denkmalpflege/fotos/7677.jpg"
14341;"Bauliche Anlage";"Stadt Flensburg";"Flensburg, Stadt";"Hafendamm 53 - 54";"Mietwohnungshaus";"Mietwohnungshaus; 1886-87, 1893, Alexander Wilhelm Prale; repräsentatives dreigeschossiges Doppelhaus, reich gegliederte Gelbsteinfassaden mit Werksteinelementen";"Geschichtlich, Künstlerisch, Städtebaulich";"gesamtes Objekt";"https://opendata.schleswig-holstein.de/data/denkmalpflege/fotos/14341.jpg"
45463;"Bauliche Anlage";"Stadt Flensburg";"Flensburg, Stadt";"Hafendamm";"Eisenbahn-Doppelbrücke";"Eisenbahn-Doppelbrücke; 1929; auf Anlage der Hafenbahn um 1852-54 zurückgehend, genietete Eisenkonstruktion mit gemauerten Widerlagern in rotem Backstein, teils Stahlbeton mit Scharrierungen";"Geschichtlich, Städtebaulich, Technisch";"gesamtes Objekt";"https://opendata.schleswig-holstein.de/data/denkmalpflege/fotos/45463.jpg"
14373;"Bauliche Anlage";"Stadt Flensburg";"Flensburg, Stadt";"Hafermarkt 10";"Wohn- und Geschäftshaus";"Wohn- und Geschäftshaus; 1888, Maurermeister Behrendsen; dreigeschossiger Putzbau in Ecklage zu Hafermarkt und Heinrichstraße, Fassaden in aufwendiger spätklassizistischer Gestaltung, stumpfe Ecke durch Kolossalpilaster betont, an Schmalseite breiter Dacherker mit Segmentgiebel";"Geschichtlich, Künstlerisch, Städtebaulich";"Wohn- und Geschäftshaus, ";"https://opendata.schleswig-holstein.de/data/denkmalpflege/fotos/14373.jpg"
14380;"Bauliche Anlage";"Stadt Flensburg";"Flensburg, Stadt";"Harniskai 4";"ehem. Hübsch-Speicher";"ehem. Hübsch-Speicher; 1939, Fr. Wucherpfennig; sechsgeschossiger Hochsilo mit Klinkerfassade und Walmdach, zweigeschossiges Lagerhaus nach Süden anschließend, an Nordseite Betonsilo von 1961-63; technische Ausstattung aus der Bauzeit";"Geschichtlich, Kulturlandschaftlich, Städtebaulich, Technisch";"gesamtes Objekt";"https://opendata.schleswig-holstein.de/data/denkmalpflege/fotos/14380.jpg"
8153;"Bauliche Anlage";"Stadt Flensburg";"Flensburg, Stadt";"Harniskai 22";"sog. Habro-Speicher";"Alteintragung (Aktualisierung vorgesehen)";"Geschichtlich, Kulturlandschaftlich, Technisch";"gesamtes Objekt";"https://opendata.schleswig-holstein.de/data/denkmalpflege/fotos/8153.jpg"
